Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp	Regulation
RP11-423H2.1	ENSG00000170089.15	28.67	9.71	1.47	4.45E-15	UP
HSPA4	ENSG00000170606.13	102.771	45.395	1.161	1.11E-06	UP
GPR27	ENSG00000170837.2	3.14	0.63	1.345	1.20E-06	UP
PLA2G1B	ENSG00000170890.13	30.93	4.56	2.522	4.76E-14	UP
NETO2	ENSG00000171208.9	13.1	3.69	1.588	6.83E-05	UP
SHCBP1	ENSG00000171241.8	2.93	0.555	1.338	6.14E-11	UP
NPTX1	ENSG00000171246.5	11.64	1.785	2.182	2.11E-03	UP
RHNO1	ENSG00000171792.10	23.209	8.58	1.337	2.26E-16	UP
RRM2	ENSG00000171848.13	4.64	1.305	1.291	3.20E-04	UP
ISG20	ENSG00000172183.14	11.09	4.73	1.077	7.10E-03	UP
ZNF622	ENSG00000173545.4	25.47	10.81	1.164	6.29E-08	UP
KLK15	ENSG00000174562.13	2.21	0.555	1.046	1.42E-10	UP
SEZ6L2	ENSG00000174938.14	38.379	13.84	1.408	8.60E-10	UP
UBE2C	ENSG00000175063.16	25.591	1.855	3.219	3.87E-18	UP
RMI2	ENSG00000175643.8	11.95	1.2	2.557	2.38E-22	UP
JAKMIP2	ENSG00000176049.15	7.7	1.415	1.849	7.63E-09	UP
TPRN	ENSG00000176058.11	12.05	4.74	1.185	1.76E-06	UP
RP11-334J6.7	ENSG00000176868.2	16.47	5.184	1.498	1.78E-04	UP
TYMS	ENSG00000176890.15	13.47	4.96	1.28	1.10E-05	UP
PPFIA3	ENSG00000177380.13	21.19	9.305	1.107	3.31E-06	UP
SRRM3	ENSG00000177679.15	60.989	22.07	1.426	2.13E-06	UP
TMPRSS9	ENSG00000178297.12	3.33	0.52	1.51	5.75E-11	UP
TAF7	ENSG00000178913.7	96.683	37.37	1.348	6.10E-12	UP
SMIM10L2A	ENSG00000178947.8	54.681	21.845	1.285	8.22E-05	UP
SEPW1	ENSG00000178980.14	266.002	110.898	1.255	1.47E-05	UP
RAD23A	ENSG00000179262.9	133.824	65.45	1.021	5.02E-07	UP
GADD45GIP1	ENSG00000179271.2	77.423	34.095	1.16	3.41E-12	UP
RP1-278E11.3	ENSG00000180211.5	2.14	0.545	1.023	3.77E-23	UP
HOXC10	ENSG00000180818.4	2.59	0.59	1.175	1.21E-06	UP
SSR4	ENSG00000180879.13	573.678	279.024	1.037	2.34E-06	UP
TRAPPC5	ENSG00000181029.8	148.281	66.251	1.15	1.70E-13	UP
NPM1	ENSG00000181163.13	981.605	439.752	1.157	5.19E-07	UP
RPL24P4	ENSG00000181524.6	16.22	4.69	1.598	1.40E-24	UP
RUVBL2	ENSG00000183207.12	73.531	33.881	1.095	7.59E-05	UP
MRPL54	ENSG00000183617.4	140.35	68.94	1.015	1.14E-07	UP
ZNF703	ENSG00000183779.6	23.62	10.235	1.132	1.52E-05	UP
NR2C2AP	ENSG00000184162.14	20.949	8.565	1.198	1.17E-15	UP
NDUFA12	ENSG00000184752.12	170.732	77.934	1.121	5.87E-11	UP
MANEAL	ENSG00000185090.14	10.35	4.145	1.142	2.66E-07	UP
NOMO2	ENSG00000185164.14	131.652	51.065	1.349	9.18E-11	UP
SOCS1	ENSG00000185338.4	9.99	2.08	1.835	1.55E-09	UP
PARPBP	ENSG00000185480.11	3.33	0.87	1.211	1.03E-14	UP
FAM131C	ENSG00000185519.8	14.17	4.07	1.581	1.95E-05	UP
NDUFA4L2	ENSG00000185633.10	19.88	8.07	1.203	1.78E-08	UP
NDUFA13	ENSG00000186010.18	459.397	187.571	1.288	4.59E-12	UP
SAPCD2	ENSG00000186193.8	2.19	0.22	1.387	2.17E-16	UP
TNFRSF4	ENSG00000186827.10	2.64	0.4	1.379	1.29E-29	UP
ZACN	ENSG00000186919.12	10.06	0.615	2.776	8.68E-03	UP
ISG15	ENSG00000187608.8	31.91	11.075	1.447	3.49E-09	UP
GABRD	ENSG00000187730.7	2.57	0.76	1.02	1.22E-09	UP
FANCA	ENSG00000187741.14	6.99	2.675	1.12	1.39E-08	UP
ZP3	ENSG00000188372.14	11.29	3.89	1.33	4.60E-09	UP
PLEKHG4	ENSG00000196155.12	21.32	5.42	1.798	9.80E-06	UP
SULF2	ENSG00000196562.14	49.111	10.505	2.123	2.25E-13	UP
SLC30A10	ENSG00000196660.10	1.71	0.13	1.262	1.54E-07	UP
HSH2D	ENSG00000196684.12	1.82	0.35	1.063	2.26E-08	UP
TMEM26	ENSG00000196932.11	2.21	0.46	1.137	2.33E-11	UP
SMIM10L2B	ENSG00000196972.7	16.18	1.975	2.53	5.62E-12	UP
LAGE3	ENSG00000196976.6	77.88	30.04	1.346	2.75E-12	UP
OGDHL	ENSG00000197444.9	4.7	0.66	1.78	3.65E-06	UP
UBL5	ENSG00000198258.10	855.01	385.903	1.146	3.19E-09	UP
PPIAP22	ENSG00000198618.5	265.376	42.7	2.608	1.05E-31	UP
PRC1	ENSG00000198901.13	14.73	5.18	1.348	3.28E-08	UP
RP11-465L10.10	ENSG00000204044.6	2.08	0.28	1.267	1.74E-15	UP
FOXO6	ENSG00000204060.5	2.3	0.545	1.095	3.83E-07	UP
HNRNPCP2	ENSG00000204253.4	15.73	1.4	2.801	2.48E-42	UP
PSENEN	ENSG00000205155.7	163.505	53.156	1.603	1.21E-19	UP
LCMT1	ENSG00000205629.11	53.389	25.61	1.031	1.15E-13	UP
HLA-H	ENSG00000206341.7	24.309	11.24	1.048	9.17E-03	UP
RP11-641D5.1	ENSG00000213178.3	156.768	65.666	1.243	2.42E-13	UP
YWHAZP5	ENSG00000213260.3	1.47	0.18	1.066	5.86E-17	UP
RPL18AP3	ENSG00000213442.5	77.659	31.804	1.262	9.15E-13	UP
RPLP0P6	ENSG00000213553.4	17.48	7.75	1.079	1.42E-05	UP
HNRNPA1P10	ENSG00000214223.4	4.55	1.275	1.287	2.53E-18	UP
RPS3AP26	ENSG00000214389.2	9.39	3.39	1.243	9.63E-12	UP
RPL7P1	ENSG00000214485.6	36.849	9.245	1.885	9.97E-17	UP
SPINK13	ENSG00000214510.9	10.51	1.325	2.308	7.34E-17	UP
PPIAP29	ENSG00000214975.4	5.12	1.34	1.387	6.20E-18	UP
RPS2P55	ENSG00000216866.5	4.82	0.43	2.025	2.57E-46	UP
PRELID1P1	ENSG00000217325.2	1.31	0.085	1.09	3.97E-38	UP
PAM16	ENSG00000217930.7	91.899	42.37	1.099	7.03E-07	UP
RP11-40C6.2	ENSG00000219928.2	495.347	0	8.955	1.57E-71	UP
UBE2SP2	ENSG00000224126.2	9.83	0	3.437	6.20E-39	UP
MSL3P1	ENSG00000224287.2	3.16	0.685	1.304	2.55E-11	UP
HNRNPA1P48	ENSG00000224578.4	19.981	9.375	1.016	2.93E-09	UP
RPL35P5	ENSG00000225573.4	7.96	1.675	1.744	5.68E-18	UP
HAR1A	ENSG00000225978.3	1.79	0.21	1.205	4.92E-11	UP
TBCAP1	ENSG00000226781.1	7.54	0.385	2.624	3.82E-46	UP
RP11-395B7.4	ENSG00000227053.1	2.15	0.495	1.075	2.69E-08	UP
RP11-543P15.1	ENSG00000227081.5	14.84	6.165	1.145	2.96E-09	UP
RPS28P7	ENSG00000227097.5	880.024	216.353	2.019	1.51E-23	UP
RP1-241P17.4	ENSG00000228532.4	25.899	1.57	3.388	4.91E-29	UP
FAM207BP	ENSG00000228797.2	1.68	0.2	1.159	3.35E-20	UP
HMGN1P37	ENSG00000229237.2	2.1	0	1.632	1.99E-29	UP
KRT8P12	ENSG00000229320.3	6.21	2.505	1.041	2.99E-08	UP
XIST	ENSG00000229807.9	8.73	0.555	2.646	5.17E-07	UP
PET100	ENSG00000229833.9	102.408	40.854	1.305	8.87E-18	UP
RPS23P8	ENSG00000230629.2	46.71	13.155	1.753	2.45E-17	UP
HAR1B	ENSG00000231133.6	1.85	0.13	1.335	4.20E-13	UP
RP11-5P18.10	ENSG00000232456.1	3.23	0.93	1.132	7.75E-05	UP
RPL3P4	ENSG00000232573.1	67.358	27.42	1.266	1.12E-05	UP
UBE2SP1	ENSG00000233966.1	3	0.415	1.499	8.26E-17	UP
RP1-20N18.4	ENSG00000234262.1	1.21	0	1.144	6.94E-06	UP
H2BFS	ENSG00000234289.5	4.03	1.215	1.183	1.30E-07	UP
RPL13AP20	ENSG00000234498.3	1.4	0.175	1.03	1.20E-20	UP
RP11-356I2.1	ENSG00000234956.5	3.56	0.09	2.065	1.98E-06	UP
FABP5P7	ENSG00000234964.4	10.07	3.615	1.262	5.58E-06	UP
TECRP1	ENSG00000235043.3	20.23	2.9	2.445	6.76E-37	UP
RPL39P3	ENSG00000235174.1	603.244	196.453	1.614	2.03E-09	UP
RPL6P27	ENSG00000235552.4	32.701	9.56	1.674	3.42E-25	UP
HMGN1P36	ENSG00000235734.4	1.47	0	1.305	2.79E-27	UP
PNMA6A	ENSG00000235961.5	3.18	0.755	1.252	1.16E-08	UP
RP11-215A21.2	ENSG00000236058.3	2.96	0.18	1.747	1.86E-46	UP
HSPB1P1	ENSG00000236060.2	14.16	0	3.922	2.57E-46	UP
RPL13AP5	ENSG00000236552.2	121.7	57.338	1.073	3.15E-06	UP
RP5-857K21.6	ENSG00000237973.1	225.595	105.854	1.084	5.20E-03	UP
PTENP1	ENSG00000237984.3	2.08	0.37	1.169	2.68E-22	UP
RPL35P1	ENSG00000237991.3	2.52	0.345	1.388	4.09E-26	UP
RP11-464D20.2	ENSG00000239246.3	4.11	0.55	1.721	3.34E-30	UP
MTATP8P1	ENSG00000240409.1	3.9	0.453	1.754	7.38E-18	UP
TMEM189	ENSG00000240849.10	40.461	18.77	1.068	7.13E-10	UP
HOXA11-AS	ENSG00000240990.9	3.48	0.835	1.288	3.17E-06	UP
RPL37P6	ENSG00000241431.1	2.22	0	1.687	2.36E-41	UP
RPL7AP30	ENSG00000241741.1	5.27	1.39	1.391	2.83E-22	UP
RPL23AP65	ENSG00000243964.1	5.42	0.64	1.969	8.98E-31	UP
RP11-10G12.1	ENSG00000244538.1	2.45	0	1.787	1.31E-29	UP
H2AFJ	ENSG00000246705.4	305.578	150.075	1.021	4.22E-06	UP
ZCCHC3	ENSG00000247315.3	15.04	6.93	1.016	2.43E-14	UP
MTND4P12	ENSG00000247627.2	23.16	0.97	3.616	2.24E-08	UP
NPM1P27	ENSG00000249353.2	12.09	4.4	1.277	2.36E-10	UP
LINC01234	ENSG00000249550.6	2.41	0	1.77	3.56E-12	UP
RP11-256P1.1	ENSG00000249971.1	12.37	0	3.741	4.49E-10	UP
RP11-159K7.2	ENSG00000250358.5	1.5	0	1.322	2.14E-11	UP
RP11-867G23.4	ENSG00000254452.1	25.2	3.015	2.706	3.43E-12	UP
RP11-676M6.1	ENSG00000254612.2	3.38	0.835	1.255	1.06E-15	UP
RP11-805J14.5	ENSG00000254721.1	8.47	2.66	1.372	1.36E-09	UP
RPL41P2	ENSG00000256338.2	118.602	23.036	2.315	1.05E-18	UP
SNRPEP2	ENSG00000256968.1	8.12	1.99	1.609	1.39E-15	UP
TMPO-AS1	ENSG00000257167.2	1.95	0.28	1.205	1.37E-19	UP
RP11-1100L3.7	ENSG00000257663.1	21.81	6.019	1.7	3.34E-08	UP
RP11-620J15.3	ENSG00000257698.1	42.159	15.165	1.417	9.53E-18	UP
RP11-1143G9.4	ENSG00000257764.2	3.22	0.76	1.262	7.82E-07	UP
RP11-386G11.10	ENSG00000258017.1	176.851	23.595	2.854	1.63E-10	UP
RP11-161H23.5	ENSG00000258232.2	82.378	26.783	1.585	2.47E-03	UP
RP11-649E7.5	ENSG00000258377.1	7.71	0.07	3.025	1.94E-13	UP
RP11-316M1.12	ENSG00000259357.2	79.981	0.99	5.347	6.25E-27	UP
RP11-63M22.2	ENSG00000260465.1	14.26	3.285	1.832	4.05E-06	UP
RP11-303E16.2	ENSG00000261061.1	8.76	2.025	1.69	2.15E-13	UP
RP4-616B8.4	ENSG00000261431.1	1.52	0	1.333	4.65E-03	UP
UBE2MP1	ENSG00000261461.1	1.88	0.3	1.148	2.75E-21	UP
LA16c-390E6.5	ENSG00000261641.2	27.07	4.67	2.308	1.96E-08	UP
RP11-265N6.1	ENSG00000261684.1	4.49	0	2.457	1.40E-15	UP
RP11-265N6.2	ENSG00000261822.1	1.47	0.12	1.141	4.01E-05	UP
RP11-96D1.11	ENSG00000262160.1	7.03	2.715	1.112	8.90E-08	UP
RP11-498C9.3	ENSG00000262413.1	12.16	0	3.718	1.23E-08	UP
RP11-667K14.4	ENSG00000262533.1	8.86	0	3.302	1.05E-23	UP
RP11-498C9.2	ENSG00000262831.1	4.55	0.644	1.755	8.35E-08	UP
RP11-294J22.6	ENSG00000262967.1	4.43	0	2.441	3.87E-10	UP
SNORD3A	ENSG00000263934.4	78.161	30.814	1.315	7.36E-04	UP
RP11-746M1.1	ENSG00000263986.1	38.751	7.04	2.306	1.78E-08	UP
RP11-6N17.6	ENSG00000264019.1	4.91	0	2.563	4.62E-08	UP
SNRPGP2	ENSG00000264350.1	25.34	3.63	2.508	1.29E-29	UP
RP11-138C9.1	ENSG00000264558.1	30.049	11.895	1.268	2.23E-03	UP
RP11-138I1.4	ENSG00000265401.1	234.151	55.425	2.059	4.59E-13	UP
RP5-890E16.4	ENSG00000266341.1	12.46	0	3.751	2.98E-30	UP
RP11-20B24.4	ENSG00000266642.2	9.72	3.41	1.281	6.01E-05	UP
MTRNR2L12	ENSG00000269028.3	3.81	0.375	1.807	2.62E-34	UP
RP5-940J5.9	ENSG00000269968.1	251.933	0	7.983	1.69E-24	UP
RP11-178L8.8	ENSG00000270082.1	2.75	0	1.907	2.42E-09	UP
MINOS1-NBL1	ENSG00000270136.5	5.19	1.865	1.111	8.50E-14	UP
LINC01235	ENSG00000270547.5	1.43	0.05	1.211	2.77E-21	UP
RP11-254F7.3	ENSG00000271787.1	8.99	3.19	1.254	3.71E-05	UP
GS1-72M22.1	ENSG00000272163.1	2.13	0.185	1.401	1.07E-11	UP
FAM47E-STBD1	ENSG00000272414.5	7.57	2.91	1.132	2.66E-12	UP
RP4-583P15.14	ENSG00000273047.1	5.2	1.075	1.579	5.64E-15	UP
Metazoa_SRP	ENSG00000274012.1	532.264	227.819	1.221	1.30E-09	UP
LLNLR-284B4.1	ENSG00000274177.1	15.85	0	4.075	3.73E-14	UP
RP11-627K11.6	ENSG00000275097.1	1.65	0.29	1.039	1.94E-10	UP
RNA5-8S5	ENSG00000275215.1	435.732	213.094	1.029	1.47E-04	UP
RN7SL1	ENSG00000276168.1	437.669	200.109	1.125	5.34E-05	UP
RPPH1	ENSG00000277209.1	9.73	2.55	1.596	1.71E-07	UP
MARCKS	ENSG00000277443.1	13.8	6.395	1.001	1.39E-08	UP
NEFL	ENSG00000277586.1	7.58	0.32	2.7	3.71E-09	UP
RNA5-8S5	ENSG00000277739.1	435.732	213.094	1.029	1.47E-04	UP
RP11-452N17.1	ENSG00000277998.1	39.929	4.86	2.804	3.20E-32	UP
RNA5-8S5	ENSG00000278189.1	435.732	213.094	1.029	1.47E-04	UP
RNA5-8S5	ENSG00000278233.1	435.732	213.094	1.029	1.47E-04	UP
RP4-738P15.6	ENSG00000279322.1	19.48	1.739	2.902	3.87E-05	UP
RP11-463I20.1	ENSG00000279364.1	16.44	6.79	1.163	8.15E-11	UP
RP11-671J11.5	ENSG00000279423.1	33.929	16.36	1.009	2.16E-09	UP
RPL41	ENSG00000279483.1	3530.115	1538.916	1.197	5.12E-05	UP
